ID_objet;Date;Heure;Longitude;Latitude;Categ;Ss_categ;Etat;Quantité
1;01/09/2016;04:29:38;1,396911903;43,57599803;Ameublement;Table;Bon;2
2;02/09/2016;11:17:11;1,42439143;43,61584491;Vaisselles;NULL;Bon;2
3;03/09/2016;21:06:23;1,388759446;43,58246257;Matériaux;Feraille;Abimé;3
4;04/09/2016;23:05:22;1,504843094;43,53203741;Vetement/textile;Homme;Inconnu;2
5;05/09/2016;15:53:50;1,411262291;43,58460701;Matériaux;Carton;Inconnu;3
6;06/09/2016;10:31:47;1,469500433;43,64969332;Outils;NULL;Inconnu;2
7;07/09/2016;10:57:59;1,492108021;43,63869363;Electroménager;NULL;Bon;1
8;08/09/2016;12:36:12;1,440507395;43,60006224;Ameublement;Literie;Inconnu;3
9;09/09/2016;19:09:59;1,435736125;43,5479371;Matériaux;Verre;Réparable;3
10;10/09/2016;03:58:36;1,419804582;43,53922506;Vetement/textile;Enfant;Inconnu;4
11;11/09/2016;12:18:44;1,40749666;43,65788707;Vetement/textile;Enfant;Abimé;4
12;12/09/2016;01:24:24;1,382887617;43,57743385;Electronique;Ordinateur;Abimé;3
13;13/09/2016;17:01:46;1,487251703;43,56154308;Vetement/textile;Femme;Réparable;4
14;14/09/2016;05:35:47;1,377663329;43,53235063;Vaisselles;NULL;Abimé;3
15;15/09/2016;18:11:11;1,407204358;43,64833105;Electronique;Telephonie;Réparable;2
16;16/09/2016;06:00:15;1,355731076;43,60909327;Matériaux;Bois;Réparable;1
17;17/09/2016;23:40:18;1,441228295;43,57374778;Vehicules;Pieces detaches;Abimé;3
18;18/09/2016;19:45:00;1,44016337;43,64987095;Matériaux;Verre;Bon;2
19;19/09/2016;09:01:58;1,478617355;43,59995082;Vaisselles;NULL;Inconnu;1
20;20/09/2016;12:50:17;1,382416338;43,59445037;Outils;NULL;Réparable;1
21;21/09/2016;12:55:15;1,401263127;43,58749089;Decos;NULL;Abimé;1
22;22/09/2016;12:26:25;1,426593126;43,57673765;Vehicules;Pieces detaches;Inconnu;1
23;23/09/2016;05:33:22;1,509314728;43,59340528;Vehicules;Pieces detaches;Bon;1
24;24/09/2016;01:55:49;1,480787696;43,5310402;Divers;NULL;Bon;3
25;25/09/2016;13:23:42;1,452218381;43,63294445;Vaisselles;NULL;Inconnu;3
26;26/09/2016;03:15:01;1,487670386;43,64634651;Matériaux;Bois;Abimé;1
27;27/09/2016;00:40:28;1,459837983;43,64252448;Vehicules;Autres;Inconnu;1
28;28/09/2016;11:44:27;1,404882459;43,60179668;Electronique;Jeux videos;Inconnu;4
29;29/09/2016;15:43:40;1,374032594;43,54702741;Vetement/textile;Femme;Bon;4
30;30/09/2016;05:10:47;1,374423378;43,63752005;Decos;NULL;Réparable;1
31;01/10/2016;08:05:26;1,466394914;43,53637097;Vetement/textile;Enfant;Inconnu;4
32;02/10/2016;23:02:48;1,354121502;43,64879375;Matériaux;Verre;Bon;3
33;03/10/2016;01:29:18;1,432818995;43,57627851;Vetement/textile;Homme;Bon;4
34;04/10/2016;23:21:34;1,474891731;43,59673209;Electronique;Telephonie;Abimé;2
35;05/10/2016;01:01:12;1,447057744;43,66026544;Electroménager;NULL;Réparable;2
36;06/10/2016;06:37:46;1,508370078;43,55778362;Vaisselles;NULL;Abimé;4
37;07/10/2016;02:35:06;1,418349983;43,61395447;Vehicules;Autres;Abimé;2
38;08/10/2016;03:46:37;1,405001052;43,59352794;Electronique;Ordinateur;Réparable;4
39;09/10/2016;16:38:05;1,396310124;43,59196345;Vehicules;Pieces detaches;Abimé;1
40;10/10/2016;12:14:17;1,361998663;43,65969793;Ameublement;Table;Inconnu;3
41;11/10/2016;02:47:20;1,440840555;43,54219844;Electronique;Telephonie;Inconnu;4
42;12/10/2016;16:25:59;1,370868948;43,53777036;Matériaux;Carton;Abimé;2
43;13/10/2016;19:25:57;1,468613509;43,53762729;Ameublement;Fauteuil;Abimé;3
44;14/10/2016;00:16:36;1,49147039;43,59181879;Vaisselles;NULL;Réparable;1
45;15/10/2016;16:49:57;1,434179423;43,61901007;Decos;NULL;Inconnu;1
46;16/10/2016;12:00:32;1,416598077;43,57191301;Vetement/textile;Femme;Réparable;3
47;17/10/2016;22:28:14;1,490120877;43,63437797;Matériaux;Feraille;Réparable;1
48;18/10/2016;21:19:50;1,502705735;43,64516914;Matériaux;Bois;Abimé;3
49;19/10/2016;19:53:02;1,4044751;43,56046454;Electronique;Ordinateur;Inconnu;2
50;20/10/2016;16:15:29;1,461109214;43,63001395;Ameublement;Literie;Réparable;1
51;21/10/2016;16:30:41;1,448983501;43,64508781;Matériaux;Feraille;Abimé;2
52;22/10/2016;14:30:56;1,398397548;43,60618734;Outils;NULL;Abimé;1
53;23/10/2016;06:46:16;1,453553492;43,53735281;Vehicules;Autres;Bon;3
54;24/10/2016;20:51:03;1,413279841;43,64242347;Vetement/textile;Homme;Bon;3
55;25/10/2016;04:59:43;1,347856098;43,54649093;Ameublement;Rangement;Inconnu;4
56;26/10/2016;16:30:50;1,475870735;43,54396659;Vehicules;Pieces detaches;Inconnu;2
57;27/10/2016;02:16:51;1,471624947;43,55962739;Outils;NULL;Bon;3
58;28/10/2016;18:52:00;1,389441436;43,53413103;Ameublement;Fauteuil;Abimé;3
59;29/10/2016;12:53:25;1,436782367;43,63522379;Decos;NULL;Réparable;1
60;30/10/2016;09:13:10;1,489204006;43,57681305;Divers;NULL;Inconnu;2
61;31/10/2016;23:18:25;1,345725994;43,65540701;Electronique;Telephonie;Réparable;3
62;01/11/2016;20:14:10;1,462370536;43,62160363;Ameublement;Chaise;Inconnu;2
63;02/11/2016;09:36:27;1,510728271;43,54298396;Ameublement;Chaise;Bon;1
64;03/11/2016;22:38:29;1,435677819;43,56138017;Vehicules;Autres;Bon;4
65;04/11/2016;00:51:37;1,464471709;43,53732295;Vehicules;Autres;Abimé;1
66;05/11/2016;20:44:47;1,472994604;43,58108378;Ameublement;Literie;Réparable;1
67;06/11/2016;10:12:01;1,432337241;43,58361978;Vehicules;Pieces detaches;Bon;2
68;07/11/2016;20:31:05;1,34987146;43,58581118;Ameublement;Table;Abimé;1
69;08/11/2016;10:31:17;1,453333519;43,5427356;Matériaux;Feraille;Réparable;3
70;09/11/2016;22:15:30;1,353993275;43,54805151;Ameublement;Table;Réparable;3
71;10/11/2016;03:10:02;1,3457498;43,54397407;Decos;NULL;Réparable;1
72;11/11/2016;15:46:14;1,347505773;43,62080206;Ameublement;Literie;Abimé;3
73;12/11/2016;12:00:27;1,465415691;43,61789891;Divers;NULL;Bon;2
74;13/11/2016;08:12:15;1,479337906;43,54934045;Vaisselles;NULL;Inconnu;4
75;14/11/2016;07:36:58;1,391823306;43,65568179;Vetement/textile;Enfant;Bon;3
76;15/11/2016;03:41:40;1,457662238;43,55987743;Matériaux;Bois;Inconnu;1
77;16/11/2016;01:51:11;1,397219099;43,60240387;Ameublement;Chaise;Réparable;1
78;17/11/2016;12:38:53;1,443875279;43,57276327;Outils;NULL;Réparable;2
79;18/11/2016;08:27:37;1,509348258;43,65521757;Matériaux;Feraille;Réparable;1
80;19/11/2016;18:00:59;1,503551387;43,59854063;Divers;NULL;Inconnu;3
81;20/11/2016;18:58:06;1,441356462;43,61917614;Electronique;Ordinateur;Réparable;3
82;21/11/2016;04:08:37;1,488787625;43,53567425;Vetement/textile;Homme;Inconnu;1
83;22/11/2016;18:23:16;1,440987079;43,58014765;Electroménager;NULL;Réparable;3
84;23/11/2016;06:34:54;1,423729835;43,65824526;Ameublement;Fauteuil;Abimé;3
85;24/11/2016;20:50:57;1,469142069;43,63252171;Electronique;Telephonie;Abimé;3
86;25/11/2016;07:25:14;1,380313718;43,65835508;Matériaux;Bois;Inconnu;3
87;26/11/2016;23:39:48;1,44277153;43,54664273;Vetement/textile;Enfant;Réparable;3
88;27/11/2016;01:11:09;1,473667584;43,5599784;Divers;NULL;Abimé;1
89;28/11/2016;22:54:14;1,423165757;43,60690922;Ameublement;Rangement;Réparable;3
90;29/11/2016;17:05:49;1,473770564;43,60899582;Outils;NULL;Réparable;4
91;30/11/2016;11:17:57;1,397268835;43,58664466;Vetement/textile;Enfant;Inconnu;2
92;01/12/2016;21:39:30;1,425670754;43,63507151;Electronique;Telephonie;Réparable;4
93;02/12/2016;04:52:17;1,384341793;43,55048948;Electronique;Jeux videos;Réparable;4
94;03/12/2016;01:50:09;1,429922714;43,59601364;Ameublement;Table;Bon;4
95;04/12/2016;06:22:14;1,508619423;43,56426192;Outils;NULL;Bon;1
96;05/12/2016;20:32:26;1,3684927;43,61189522;Electronique;Jeux videos;Abimé;4
97;06/12/2016;05:09:05;1,4931965;43,57592124;Vaisselles;NULL;Bon;1
98;07/12/2016;18:50:31;1,47621984;43,58075447;Matériaux;Verre;Inconnu;2
99;08/12/2016;03:24:30;1,444571241;43,59835937;Electronique;Jeux videos;Réparable;3
100;09/12/2016;19:09:50;1,362364369;43,63582253;Ameublement;Chaise;Bon;4
101;10/12/2016;11:24:40;1,361145022;43,65882665;Electroménager;NULL;Abimé;2
102;11/12/2016;01:38:53;1,368932486;43,58106043;Ameublement;Chaise;Bon;1
103;12/12/2016;23:10:47;1,436126205;43,53066026;Electroménager;NULL;Réparable;3
104;13/12/2016;22:35:40;1,416144068;43,59705254;Electronique;Jeux videos;Réparable;2
105;14/12/2016;10:22:04;1,504780951;43,57042501;Electroménager;NULL;Bon;2
106;15/12/2016;00:56:37;1,50672661;43,65942416;Outils;NULL;Bon;4
107;16/12/2016;10:45:51;1,420448012;43,5497876;Matériaux;Feraille;Bon;4
108;17/12/2016;04:39:24;1,442506871;43,54856712;Matériaux;Carton;Réparable;2
109;18/12/2016;06:04:20;1,380286489;43,56225263;Ameublement;Fauteuil;Bon;2
110;19/12/2016;15:26:45;1,418513865;43,59748415;Vetement/textile;Homme;Inconnu;2
111;20/12/2016;13:37:35;1,382260537;43,55275788;Vetement/textile;Enfant;Bon;3
112;21/12/2016;01:45:08;1,423492798;43,56842998;Ameublement;Chaise;Inconnu;4
113;22/12/2016;10:02:34;1,459587609;43,5429463;Outils;NULL;Abimé;1
114;23/12/2016;08:21:08;1,409530501;43,53538609;Vehicules;Autres;Réparable;3
115;24/12/2016;21:58:48;1,397421775;43,53906606;Vetement/textile;Homme;Abimé;1
116;25/12/2016;11:04:59;1,493373681;43,6316719;Vehicules;Velos;Abimé;2
