ID_objet;Date;Heure;Longitude;Latitude;Categ;Ss_categ;Etat;Quantite
1;01/12/16;04:29:38;1,396911903;43,57599803;Ameublement;Table;Bon;2
2;30/04/17;11:17:11;1,42439143;43,61584491;Vaisselles;NULL;Bon;2
3;03/02/17;21:06:23;1,388759446;43,58246257;Materiaux;Feraille;Abime;3
4;19/07/17;23:05:22;1,504843094;43,53203741;Vetement/textile;Homme;Inconnu;2
5;11/01/17;15:53:50;1,411262291;43,58460701;Materiaux;Carton;Inconnu;3
6;23/07/17;10:31:47;1,469500433;43,64969332;Outils;NULL;Inconnu;2
7;16/12/16;10:57:59;1,492108021;43,63869363;Electromenager;NULL;Bon;1
8;20/10/16;12:36:12;1,440507395;43,60006224;Ameublement;Literie;Inconnu;3
9;06/03/17;19:09:59;1,435736125;43,5479371;Materiaux;Verre;Reparable;3
10;25/03/17;03:58:36;1,419804582;43,53922506;Vetement/textile;Enfant;Inconnu;4
11;03/03/17;12:18:44;1,40749666;43,65788707;Vetement/textile;Enfant;Abime;4
12;02/06/17;01:24:24;1,382887617;43,57743385;Electronique;Ordinateur;Abime;3
13;02/10/17;17:01:46;1,487251703;43,56154308;Vetement/textile;Femme;Reparable;4
14;13/08/17;05:35:47;1,377663329;43,53235063;Vaisselles;NULL;Abime;3
15;24/07/17;18:11:11;1,407204358;43,64833105;Electronique;Telephonie;Reparable;2
16;03/04/17;06:00:15;1,355731076;43,60909327;Materiaux;Bois;Reparable;1
17;19/09/16;23:40:18;1,441228295;43,57374778;Vehicules;Pieces detaches;Abime;3
18;04/08/17;19:45:00;1,44016337;43,64987095;Materiaux;Verre;Bon;2
19;18/12/16;09:01:58;1,478617355;43,59995082;Vaisselles;NULL;Inconnu;1
20;13/06/17;12:50:17;1,382416338;43,59445037;Outils;NULL;Reparable;1
21;12/04/17;12:55:15;1,401263127;43,58749089;Decos;NULL;Abime;1
22;28/09/17;12:26:25;1,426593126;43,57673765;Vehicules;Pieces detaches;Inconnu;1
23;20/02/17;05:33:22;1,509314728;43,59340528;Vehicules;Pieces detaches;Bon;1
24;16/03/17;01:55:49;1,480787696;43,5310402;Divers;NULL;Bon;3
25;03/09/16;13:23:42;1,452218381;43,63294445;Vaisselles;NULL;Inconnu;3
26;15/01/17;03:15:01;1,487670386;43,64634651;Materiaux;Bois;Abime;1
27;20/08/17;00:40:28;1,459837983;43,64252448;Vehicules;Autres;Inconnu;1
28;28/03/17;11:44:27;1,404882459;43,60179668;Electronique;Jeux videos;Inconnu;4
29;21/11/16;15:43:40;1,374032594;43,54702741;Vetement/textile;Femme;Bon;4
30;20/10/16;05:10:47;1,374423378;43,63752005;Decos;NULL;Reparable;1
31;30/01/17;08:05:26;1,466394914;43,53637097;Vetement/textile;Enfant;Inconnu;4
32;28/02/17;23:02:48;1,354121502;43,64879375;Materiaux;Verre;Bon;3
33;24/08/17;01:29:18;1,432818995;43,57627851;Vetement/textile;Homme;Bon;4
34;21/07/17;23:21:34;1,474891731;43,59673209;Electronique;Telephonie;Abime;2
35;08/01/17;01:01:12;1,447057744;43,66026544;Electromenager;NULL;Reparable;2
36;12/12/16;06:37:46;1,508370078;43,55778362;Vaisselles;NULL;Abime;4
37;17/11/16;02:35:06;1,418349983;43,61395447;Vehicules;Autres;Abime;2
38;11/07/17;03:46:37;1,405001052;43,59352794;Electronique;Ordinateur;Reparable;4
39;13/11/16;16:38:05;1,396310124;43,59196345;Vehicules;Pieces detaches;Abime;1
40;18/12/16;12:14:17;1,361998663;43,65969793;Ameublement;Table;Inconnu;3
41;05/04/17;02:47:20;1,440840555;43,54219844;Electronique;Telephonie;Inconnu;4
42;02/11/16;16:25:59;1,370868948;43,53777036;Materiaux;Carton;Abime;2
43;16/04/17;19:25:57;1,468613509;43,53762729;Ameublement;Fauteuil;Abime;3
44;14/11/16;00:16:36;1,49147039;43,59181879;Vaisselles;NULL;Reparable;1
45;12/10/16;16:49:57;1,434179423;43,61901007;Decos;NULL;Inconnu;1
46;01/01/17;12:00:32;1,416598077;43,57191301;Vetement/textile;Femme;Reparable;3
47;17/12/16;22:28:14;1,490120877;43,63437797;Materiaux;Feraille;Reparable;1
48;07/10/17;21:19:50;1,502705735;43,64516914;Materiaux;Bois;Abime;3
49;04/09/17;19:53:02;1,4044751;43,56046454;Electronique;Ordinateur;Inconnu;2
50;10/02/17;16:15:29;1,461109214;43,63001395;Ameublement;Literie;Reparable;1
51;27/04/17;16:30:41;1,448983501;43,64508781;Materiaux;Feraille;Abime;2
52;29/01/17;14:30:56;1,398397548;43,60618734;Outils;NULL;Abime;1
53;28/10/16;06:46:16;1,453553492;43,53735281;Vehicules;Autres;Bon;3
54;31/08/17;20:51:03;1,413279841;43,64242347;Vetement/textile;Homme;Bon;3
55;19/06/17;04:59:43;1,347856098;43,54649093;Ameublement;Rangement;Inconnu;4
56;02/05/17;16:30:50;1,475870735;43,54396659;Vehicules;Pieces detaches;Inconnu;2
57;11/12/16;02:16:51;1,471624947;43,55962739;Outils;NULL;Bon;3
58;07/10/17;18:52:00;1,389441436;43,53413103;Ameublement;Fauteuil;Abime;3
59;29/09/16;12:53:25;1,436782367;43,63522379;Decos;NULL;Reparable;1
60;29/04/17;09:13:10;1,489204006;43,57681305;Divers;NULL;Inconnu;2
61;20/12/16;23:18:25;1,345725994;43,65540701;Electronique;Telephonie;Reparable;3
62;28/06/17;20:14:10;1,462370536;43,62160363;Ameublement;Chaise;Inconnu;2
63;21/05/17;09:36:27;1,510728271;43,54298396;Ameublement;Chaise;Bon;1
64;29/04/17;22:38:29;1,435677819;43,56138017;Vehicules;Autres;Bon;4
65;27/06/17;00:51:37;1,464471709;43,53732295;Vehicules;Autres;Abime;1
