id_user;id_annonce;favoris
391;1383;0
705;2671;0
195;2347;0
815;524;0
265;3038;1
259;2949;0
868;2343;0
359;1939;1
174;2715;0
785;3453;0
722;1688;0
996;2351;0
971;182;0
509;2131;0
537;1498;0
155;319;0
44;2152;0
784;3425;0
496;1298;1
136;1664;0
291;899;0
327;276;0
699;2155;1
165;711;1
288;1375;0
941;1459;0
375;1960;0
704;389;1
553;465;0
971;1317;0
806;3143;0
395;1272;0
671;1011;1
991;992;0
597;1608;0
268;1269;0
485;2155;1
27;2381;0
435;2357;0
663;1477;0
809;21;0
140;187;0
877;2146;1
536;349;0
910;3021;1
939;2396;0
887;1587;0
787;1298;0
286;1438;0
945;490;1
420;545;1
987;1534;0
401;2411;0
172;2970;1
902;3462;0
609;3043;0
840;1200;0
318;2875;1
876;1667;0
712;2757;0
565;1999;1
677;1655;0
809;2639;1
916;771;1
508;653;0
582;1647;0
917;357;0
524;3312;0
762;2723;0
839;3089;1
578;1315;0
570;972;0
422;517;0
645;2896;1
83;19;0
234;737;0
229;2660;0
896;2692;0
270;837;0
733;2409;0
551;1859;1
876;2600;0
49;3467;0
156;1896;1
255;950;1
214;1484;1
259;3121;0
917;2288;0
261;3057;1
529;1931;0
988;1057;0
25;1517;1
625;1004;0
172;2570;0
625;812;0
88;846;0
897;1641;0
31;3193;0
868;2503;1
820;496;0
991;3259;0
9;459;0
205;590;0
909;1443;1
545;3375;1
549;344;0
187;2642;0
83;754;0
149;3198;0
292;2874;0
233;2671;0
364;1720;0
978;2929;0
857;473;0
78;3153;0
458;2301;1
206;83;0
174;1236;0
933;614;1
451;3192;0
553;2863;0
795;2567;0
408;2453;1
898;2375;0
924;1353;0
327;971;0
436;1358;0
884;3258;1
629;2647;0
249;7;0
670;2483;1
603;1662;0
148;1275;1
357;1785;1
232;2688;0
703;398;1
197;1813;0
411;1673;0
583;3268;0
362;1554;0
428;832;0
385;1333;1
553;3318;0
889;1168;0
252;3384;0
350;2894;0
853;3235;1
458;516;0
963;1064;1
84;2796;1
178;310;0
229;117;0
162;2698;0
10;1394;0
700;3012;0
411;768;1
473;2453;0
815;946;0
151;2652;0
71;1052;0
716;2665;0
529;1760;0
465;1086;0
173;1665;0
752;3033;1
716;1464;0
861;1828;0
581;72;0
529;3455;0
321;1857;0
128;2391;0
42;239;0
147;1111;1
59;857;0
948;2034;0
3;2946;0
157;2294;0
964;404;0
130;308;0
778;2332;0
29;3143;0
102;267;0
821;1234;0
259;1509;0
556;1973;1
433;1187;0
79;3044;0
574;1852;0
729;2765;0
460;1361;0
713;2594;0
196;3451;0
637;485;1
77;188;0
236;535;0
588;1843;0
98;2997;1
832;998;0
831;1215;0
876;3024;1
95;1260;0
394;1995;1
661;162;0
770;1189;0
147;1248;1
176;2023;0
2;1330;0
776;892;1
432;2595;1
99;733;1
276;2147;0
8;928;0
302;1007;0
250;248;0
341;2863;1
622;3209;0
16;1394;0
126;1850;0
795;688;0
871;169;1
530;1425;0
685;2963;0
497;2090;0
763;616;0
556;2443;0
626;3498;1
405;1447;0
232;2170;0
160;3379;1
293;2824;0
357;1958;0
126;825;1
249;2259;0
663;1097;0
833;2652;0
51;2850;0
861;3440;0
148;2417;0
710;3121;0
795;1057;1
308;3011;0
807;571;0
933;3055;0
541;3069;0
676;3324;0
703;2920;0
111;964;0
915;1770;0
331;3417;0
867;1201;0
261;2949;0
444;1340;0
289;192;0
32;1675;1
678;2244;0
92;1775;0
953;2097;0
738;1872;0
933;310;0
737;365;1
10;1667;1
244;3168;1
61;541;0
238;1585;1
173;947;0
211;1329;0
986;2402;0
652;2724;0
976;2539;1
221;2769;0
399;3296;0
803;2921;0
187;570;1
250;1589;0
175;2627;1
501;3030;0
372;197;0
976;2001;0
64;2702;0
107;2404;1
439;1016;0
373;3253;0
732;329;1
830;1134;0
698;2583;0
957;3374;0
560;2231;1
422;334;0
827;560;0
975;1993;0
748;2936;0
236;1151;0
264;2420;1
75;63;0
206;3460;0
991;404;1
637;2279;1
180;2201;1
495;2187;0
5;3486;0
632;1030;0
879;2538;0
247;223;0
35;500;0
986;2405;0
286;2734;0
149;623;0
676;2996;1
464;735;0
869;3350;0
664;2970;1
442;1239;1
433;2346;0
380;2910;1
759;1980;0
624;1355;0
61;1712;0
965;987;0
935;1163;1
97;1796;0
189;2066;1
500;3191;0
186;1364;1
390;2114;1
419;2582;0
697;513;1
772;947;0
385;1090;1
548;1130;0
695;800;1
783;339;1
30;1093;0
169;2000;1
95;1586;0
811;3376;0
637;551;0
217;1421;0
779;2389;0
391;2251;0
667;2410;0
128;334;0
686;968;0
234;344;1
930;2155;0
164;2856;1
550;3201;0
764;2668;0
66;698;0
971;1066;0
526;1339;0
650;3480;0
62;499;0
621;2718;1
328;913;1
686;856;0
971;197;0
462;2083;0
80;1626;0
324;2718;1
851;383;1
241;2087;1
954;3157;0
161;3359;0
676;1139;0
960;1653;1
35;1836;1
135;1640;1
592;438;0
876;2195;1
539;2529;0
730;1062;0
30;235;0
767;1094;1
48;3026;0
887;1236;0
434;1465;0
708;1574;0
963;1173;1
329;477;1
877;190;0
232;1089;0
750;848;0
344;816;0
400;1956;0
175;1038;0
631;1245;1
493;290;0
440;977;0
923;2797;0
780;283;1
316;2586;0
223;1953;0
81;63;0
276;1006;1
437;986;0
434;1855;0
707;3242;0
470;861;0
748;2337;1
121;3079;1
135;952;0
711;1545;0
309;1014;0
520;3331;1
833;1611;0
323;1285;0
12;3270;0
522;2606;0
875;3101;0
900;2647;0
929;1320;0
424;2022;0
253;2327;0
724;753;1
659;1173;1
661;2441;1
965;1095;0
497;549;0
815;2488;0
727;1839;0
294;77;0
130;1823;0
788;398;0
557;908;0
979;2416;1
248;1350;1
123;453;0
514;99;0
774;921;0
404;79;0
925;3221;0
859;903;0
656;1419;0
251;2642;0
72;2422;0
904;306;1
725;1150;0
653;2652;0
629;2361;0
33;2694;1
68;159;1
999;3324;1
607;1553;0
457;525;1
995;1503;0
617;3479;0
472;593;0
692;2097;1
338;2688;0
167;3333;1
696;1565;0
36;3420;0
63;2784;0
963;59;0
378;801;0
251;1246;0
998;2656;0
598;401;0
245;1055;0
210;1254;0
939;1914;0
550;2782;0
551;2108;0
832;1698;0
19;258;1
707;855;0
96;2757;0
893;445;0
677;2932;0
525;3153;0
573;721;1
380;1572;0
809;616;1
170;909;0
947;806;1
663;36;0
233;3425;1
905;490;0
169;3253;0
186;2038;1
216;1027;0
68;2789;0
394;874;0
854;3279;0
982;836;1
420;2425;0
387;359;0
220;663;0
29;1254;1
717;3181;1
802;1141;0
940;164;0
888;2170;0
732;3439;0
79;2792;0
345;1899;0
720;1252;0
577;2340;1
883;2524;1
969;1848;0
722;1833;0
778;2373;0
434;1702;0
447;2542;0
24;482;0
684;1804;1
876;3196;0
66;322;0
797;2396;0
846;396;1
360;3056;0
978;1932;0
976;1014;1
78;974;0
60;3246;0
13;1888;0
62;2555;0
455;649;0
739;2173;1
502;2413;0
793;2058;0
702;2790;0
216;442;1
841;3384;0
56;1998;0
353;1676;1
885;2072;0
112;1979;0
161;251;0
610;1418;0
148;3499;0
135;766;0
594;3068;0
594;2151;0
288;2851;1
857;1756;0
824;2873;0
748;1408;0
503;3392;0
736;2670;1
575;363;1
642;1313;0
393;1216;0
916;3234;0
17;2849;0
569;853;0
905;1605;0
371;1947;0
534;2102;0
205;563;1
260;2992;1
821;162;0
161;843;1
788;2456;0
462;10;0
607;292;1
428;2938;0
252;3298;0
63;530;1
667;1;1
86;1350;0
447;3149;0
699;2908;1
308;2202;0
927;536;0
827;2626;0
340;2433;0
943;2602;0
806;2348;0
26;312;1
571;2056;0
148;3123;1
44;2177;1
583;109;0
230;3001;0
298;502;0
977;1477;0
442;3157;0
662;1823;0
66;1749;0
872;2559;0
843;515;0
451;3222;0
735;1178;0
361;2613;0
812;2215;0
56;622;0
151;9;0
145;864;0
821;145;0
594;1714;0
680;3425;1
26;3010;0
794;2383;0
209;2309;0
332;808;1
104;3189;0
815;3166;0
538;3181;0
222;2343;0
504;752;1
586;1476;1
349;771;0
974;2993;0
230;3224;1
147;2035;1
966;803;1
844;876;1
962;212;0
196;3342;1
195;414;0
985;1102;1
364;2036;0
193;183;1
150;516;1
698;816;1
982;662;0
498;608;0
495;1694;0
379;1703;1
282;1365;0
764;3074;0
414;548;1
632;3198;0
778;2406;0
844;1676;1
288;2552;0
728;489;0
780;1426;0
276;3125;0
320;771;0
51;2089;0
914;2097;0
859;2564;0
718;550;1
942;1498;0
442;595;0
973;1399;1
12;2048;1
628;2129;1
5;2798;0
851;632;0
637;2892;0
347;519;0
744;79;0
961;1441;1
779;3331;0
605;357;1
598;1456;0
